Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
OGLE,I,7435.84395,19.186,0.09,19.186,0.08999999999999998
OGLE,I,7435.87913,19.352,0.091,19.352,0.09099999999999998
OGLE,I,7436.8367,19.548,0.11,19.548,0.10999999999999999
OGLE,I,7436.87452,19.44,0.079,19.44,0.07899999999999999
OGLE,I,7437.83269,19.478,0.064,19.478,0.06399999999999999
OGLE,I,7437.88018,19.394,0.063,19.394,0.06300000000000001
OGLE,I,7438.83498,19.404,0.083,19.404,0.08300000000000002
OGLE,I,7438.87531,19.677,0.117,19.677,0.11699999999999997
OGLE,I,7439.83457,19.616,0.128,19.616,0.128
OGLE,I,7439.87798,19.59,0.1,19.59,0.09999999999999998
OGLE,I,7440.83012,19.61,0.105,19.61,0.10499999999999998
OGLE,I,7440.87581,19.487,0.066,19.487,0.06599999999999999
OGLE,I,7441.82747,19.253,0.106,19.253,0.106
OGLE,I,7441.87741,19.488,0.074,19.488,0.07399999999999998
OGLE,I,7442.82035,19.421,0.099,19.421,0.09899999999999999
OGLE,I,7442.87165,19.359,0.079,19.359,0.07899999999999999
OGLE,I,7444.8752,19.344,0.065,19.344,0.06499999999999999
OGLE,I,7445.82092,19.414,0.084,19.414,0.084
OGLE,I,7445.86212,19.61,0.095,19.61,0.09499999999999997
OGLE,I,7446.81157,19.647,0.083,19.647,0.08299999999999999
OGLE,I,7446.84434,19.515,0.07,19.515,0.06999999999999999
OGLE,I,7446.88424,19.434,0.055,19.434,0.05500000000000001
OGLE,I,7447.81513,19.331,0.064,19.331,0.064
OGLE,I,7447.85552,19.486,0.074,19.486,0.074
OGLE,I,7447.89371,19.596,0.078,19.596,0.07799999999999999
OGLE,I,7448.83261,19.413,0.078,19.413,0.078
OGLE,I,7448.87722,19.261,0.051,19.261,0.05099999999999999
OGLE,I,7449.82525,19.443,0.116,19.443,0.11599999999999999
OGLE,I,7449.86575,19.544,0.136,19.544,0.136
OGLE,I,7451.80425,19.574,0.095,19.574,0.09499999999999999
OGLE,I,7451.8707,19.459,0.109,19.459,0.10899999999999999
OGLE,I,7452.81135,19.332,0.055,19.332,0.055
OGLE,I,7452.85632,19.435,0.05,19.435,0.049999999999999996
OGLE,I,7452.9026,19.569,0.052,19.569,0.05199999999999999
OGLE,I,7453.82336,19.612,0.059,19.612,0.05899999999999999
OGLE,I,7453.87724,19.404,0.051,19.404,0.051
OGLE,I,7454.85901,19.424,0.058,19.424,0.057999999999999996
OGLE,I,7454.90336,19.557,0.08,19.557,0.07999999999999999
OGLE,I,7455.83184,19.465,0.077,19.465,0.07700000000000001
OGLE,I,7455.87689,19.328,0.064,19.328,0.06399999999999999
OGLE,I,7456.80336,19.422,0.086,19.422,0.08599999999999998
OGLE,I,7456.85146,19.481,0.076,19.481,0.07599999999999998
OGLE,I,7456.90585,19.446,0.069,19.446,0.069
OGLE,I,7457.81681,19.605,0.097,19.605,0.09699999999999999
OGLE,I,7457.87295,19.294,0.074,19.294,0.07399999999999998
OGLE,I,7458.7822,19.623,0.109,19.623,0.10899999999999997
OGLE,I,7458.82701,19.35,0.069,19.35,0.069
OGLE,I,7458.88163,19.57,0.06,19.57,0.06
OGLE,I,7460.79374,19.336,0.068,19.336,0.068
